date,time,tec
01-Aug-13,00:00:00,14.20349922
01-Aug-13,02:00:00,17.56090078
01-Aug-13,04:00:00,26.51502196
01-Aug-13,06:00:00,38.51234157
01-Aug-13,08:00:00,51.60008235
01-Aug-13,10:00:00,52.64722235
01-Aug-13,12:00:00,45.26108235
01-Aug-13,14:00:00,41.65874118
01-Aug-13,16:00:00,31.73002118
01-Aug-13,18:00:00,16.56158353
01-Aug-13,20:00:00,13.94710235
01-Aug-13,22:00:00,13.10398078
02-Aug-13,00:00:00,9.761499216
02-Aug-13,02:00:00,17.70518157
02-Aug-13,04:00:00,22.95704196
02-Aug-13,06:00:00,32.65472235
02-Aug-13,08:00:00,44.84324392
02-Aug-13,10:00:00,54.30220353
02-Aug-13,12:00:00,51.83662157
02-Aug-13,14:00:00,40.78884118
02-Aug-13,16:00:00,28.19954118
02-Aug-13,18:00:00,17.67228118
02-Aug-13,20:00:00,15.8757
02-Aug-13,22:00:00,14.82957961
03-Aug-13,00:00:00,12.74394
03-Aug-13,02:00:00,19.16282078
03-Aug-13,04:00:00,25.72258118
03-Aug-13,06:00:00,35.37520235
03-Aug-13,08:00:00,45.36068235
03-Aug-13,10:00:00,47.97252314
03-Aug-13,12:00:00,42.80480118
03-Aug-13,14:00:00,33.87011882
03-Aug-13,16:00:00,24.85758
03-Aug-13,18:00:00,19.45212039
03-Aug-13,20:00:00,17.88032078
03-Aug-13,22:00:00,15.78574
04-Aug-13,00:00:00,12.59781961
04-Aug-13,02:00:00,19.09104118
04-Aug-13,04:00:00,26.35096118
04-Aug-13,06:00:00,33.87644078
04-Aug-13,08:00:00,44.24690274
04-Aug-13,10:00:00,55.90854314
04-Aug-13,12:00:00,55.99528157
04-Aug-13,14:00:00,43.11589961
04-Aug-13,16:00:00,30.97090078
04-Aug-13,18:00:00,23.29678235
04-Aug-13,20:00:00,21.41186078
04-Aug-13,22:00:00,18.93206039
05-Aug-13,00:00:00,14.38594
05-Aug-13,02:00:00,16.49864078
05-Aug-13,04:00:00,23.67482118
05-Aug-13,06:00:00,33.86884118
05-Aug-13,08:00:00,43.32872235
05-Aug-13,10:00:00,46.71214274
05-Aug-13,12:00:00,44.34122196
05-Aug-13,14:00:00,39.37337922
05-Aug-13,16:00:00,27.31407765
05-Aug-13,18:00:00,19.66206
05-Aug-13,20:00:00,17.15529922
05-Aug-13,22:00:00,15.35367961
06-Aug-13,00:00:00,12.29589961
06-Aug-13,02:00:00,18.09730157
06-Aug-13,04:00:00,26.23536235
06-Aug-13,06:00:00,36.97636196
06-Aug-13,08:00:00,52.41676392
06-Aug-13,10:00:00,57.60688235
06-Aug-13,12:00:00,48.45938
06-Aug-13,14:00:00,35.16614078
06-Aug-13,16:00:00,27.88632
06-Aug-13,18:00:00,17.91660235
06-Aug-13,20:00:00,13.20374078
06-Aug-13,22:00:00,11.68927961
07-Aug-13,00:00:00,8.395679608
07-Aug-13,02:00:00,16.12864039
07-Aug-13,04:00:00,23.25292157
07-Aug-13,06:00:00,36.32250235
07-Aug-13,08:00:00,49.11238314
07-Aug-13,10:00:00,55.35098196
07-Aug-13,12:00:00,50.28226157
07-Aug-13,14:00:00,43.63153922
07-Aug-13,16:00:00,26.73653922
07-Aug-13,18:00:00,15.14050118
07-Aug-13,20:00:00,12.93076157
07-Aug-13,22:00:00,11.09986039
08-Aug-13,00:00:00,8.159859608
08-Aug-13,02:00:00,16.22074039
08-Aug-13,04:00:00,27.35050118
08-Aug-13,06:00:00,36.55274196
08-Aug-13,08:00:00,47.55020235
08-Aug-13,10:00:00,52.46932196
08-Aug-13,12:00:00,46.55020118
08-Aug-13,14:00:00,37.63353961
08-Aug-13,16:00:00,25.93033922
08-Aug-13,18:00:00,15.92232078
08-Aug-13,20:00:00,13.59872118
08-Aug-13,22:00:00,12.58814039
09-Aug-13,00:00:00,11.38814039
09-Aug-13,02:00:00,17.72458039
09-Aug-13,04:00:00,25.15116118
09-Aug-13,06:00:00,32.35168314
09-Aug-13,08:00:00,42.75562157
09-Aug-13,10:00:00,46.71456078
09-Aug-13,12:00:00,35.59634
09-Aug-13,14:00:00,30.30453922
09-Aug-13,16:00:00,25.26741882
09-Aug-13,18:00:00,16.62462039
09-Aug-13,20:00:00,15.22056039
09-Aug-13,22:00:00,14.82632039
10-Aug-13,00:00:00,13.35638039
10-Aug-13,02:00:00,18.82664
10-Aug-13,04:00:00,26.26886118
10-Aug-13,06:00:00,32.17284235
10-Aug-13,08:00:00,44.03242196
10-Aug-13,10:00:00,53.61522118
10-Aug-13,12:00:00,54.65204078
10-Aug-13,14:00:00,42.09323843
10-Aug-13,16:00:00,28.82646039
10-Aug-13,18:00:00,18.68178078
10-Aug-13,20:00:00,15.09408157
10-Aug-13,22:00:00,13.62346
11-Aug-13,00:00:00,10.68594
11-Aug-13,02:00:00,17.56686078
11-Aug-13,04:00:00,23.74916196
11-Aug-13,06:00:00,29.18878196
11-Aug-13,08:00:00,38.84726353
11-Aug-13,10:00:00,40.77740157
11-Aug-13,12:00:00,36.28622314
11-Aug-13,14:00:00,33.98246
11-Aug-13,16:00:00,23.00329922
11-Aug-13,18:00:00,13.50818039
11-Aug-13,20:00:00,12.47242078
11-Aug-13,22:00:00,12.47157961
12-Aug-13,00:00:00,10.51814
12-Aug-13,02:00:00,15.83488078
12-Aug-13,04:00:00,23.86138235
12-Aug-13,06:00:00,30.81286196
12-Aug-13,08:00:00,43.27940353
12-Aug-13,10:00:00,50.79613922
12-Aug-13,12:00:00,44.16088118
12-Aug-13,14:00:00,34.04095804
12-Aug-13,16:00:00,24.31386118
12-Aug-13,18:00:00,18.55246118
12-Aug-13,20:00:00,14.54428078
12-Aug-13,22:00:00,14.36974
13-Aug-13,00:00:00,12.26050078
13-Aug-13,02:00:00,17.38258039
13-Aug-13,04:00:00,25.36446039
13-Aug-13,06:00:00,34.04104196
13-Aug-13,08:00:00,44.08236196
13-Aug-13,10:00:00,47.72768157
13-Aug-13,12:00:00,43.15526196
13-Aug-13,14:00:00,36.06778274
13-Aug-13,16:00:00,26.32083961
13-Aug-13,18:00:00,14.52446078
13-Aug-13,20:00:00,13.02844039
13-Aug-13,22:00:00,13.61196
14-Aug-13,00:00:00,11.93442039
14-Aug-13,02:00:00,17.36928118
14-Aug-13,04:00:00,29.26478118
14-Aug-13,06:00:00,40.71690196
14-Aug-13,08:00:00,51.64850235
14-Aug-13,10:00:00,50.36918235
14-Aug-13,12:00:00,39.94846078
14-Aug-13,14:00:00,32.36908157
14-Aug-13,16:00:00,25.32289922
14-Aug-13,18:00:00,16.85886118
14-Aug-13,20:00:00,14.68650078
14-Aug-13,22:00:00,13.8659
15-Aug-13,00:00:00,11.00569961
15-Aug-13,02:00:00,17.69878039
15-Aug-13,04:00:00,26.50082118
15-Aug-13,06:00:00,36.11522196
15-Aug-13,08:00:00,45.28902353
15-Aug-13,10:00:00,47.5310047
15-Aug-13,12:00:00,48.48686078
15-Aug-13,14:00:00,39.38290118
15-Aug-13,16:00:00,25.06991882
15-Aug-13,18:00:00,17.68820078
15-Aug-13,20:00:00,18.22542039
15-Aug-13,22:00:00,13.49703882
16-Aug-13,00:00:00,10.3642
16-Aug-13,02:00:00,19.05774235
16-Aug-13,04:00:00,25.84070118
16-Aug-13,06:00:00,38.46114235
16-Aug-13,08:00:00,43.92426274
16-Aug-13,10:00:00,43.47284118
16-Aug-13,12:00:00,39.30922196
16-Aug-13,14:00:00,37.79815961
16-Aug-13,16:00:00,26.35816078
16-Aug-13,18:00:00,21.76490157
16-Aug-13,20:00:00,19.68032078
16-Aug-13,22:00:00,16.71353922
17-Aug-13,00:00:00,13.65048078
17-Aug-13,02:00:00,17.38072078
17-Aug-13,04:00:00,25.27616039
17-Aug-13,06:00:00,36.03296235
17-Aug-13,08:00:00,47.38956196
17-Aug-13,10:00:00,50.36924274
17-Aug-13,12:00:00,42.88516235
17-Aug-13,14:00:00,42.60406078
17-Aug-13,16:00:00,27.23653922
17-Aug-13,18:00:00,18.72700196
17-Aug-13,20:00:00,16.60802078
17-Aug-13,22:00:00,15.09353961
18-Aug-13,00:00:00,12.60377961
18-Aug-13,02:00:00,18.87888
18-Aug-13,04:00:00,25.76844
18-Aug-13,06:00:00,34.77514196
18-Aug-13,08:00:00,44.09002196
18-Aug-13,10:00:00,43.86758157
